Manufacturer,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING
Type,707-,717-,727-,737-,737-,737-,737-,737-,737-,737-
Model,320C,200,200Adv,200,300,400,500,600,700,800
Initial service date,1962,1999,1970,1967,1967,1967,1967,1998,1997,1998
In service (ordered),,,,,,,,,,
Africa,53,-,58,85,14(1),7,17,-7,-2,2(12)
Middle East/Asia/Pacific,31,-,52,114,194(19),142(5),49(2),-,9(24),7(45)
Europe & CIS,9,-,94,147,272(12),216(4),145(1),6(49),21(35),20(110)
North & South America,25,-60,799,532,573(11),97(5),165(1),-,36(146),13(211)
Total aircraft,120,-60,1003,878,1053(43),462(14),376(4),6(56),66(207),42(378)
Engine Manufacturer,P&W,BMW R-R,P&W,P&W,CFMI,CFMI,CFMI,CFMI,CFMI,CFMI
Model / Type,JT3D-7,715,JT8D-15A,JT8D-15A,CFM56-3-B1,CFM56-3B-2,CFM56-3-B1R,CFM56-7B18,CFM56-7B20,CFM56-7B24
No. of engines,4,2,3,2,2,2,2,2,2,2
Static thrust (kN),84.5,97.9,71.2,71.2,89,97.9,82.3,82,89,107
Operational Items:,,,,,,,,,,
Accomodation:,,,,,,,,,,
Max. seats (single class),219,110,189,130,149,170,130,132,149,189
Two class seating,147,106,136,115,128,146,108,108,128,160
Three class seating,-,-,-,-,-,-,-,-,-,-
No. abreast,6,5,6,6,6,6,6,6,6,6
Hold volume (m3),50.27,25,43.1,24.78,30.2,38.9,23.3,23.3,30.2,47.1
Volume per passenger,0.23,0.23,0.23,0.19,0.2,0.23,0.18,0.18,0.2,0.25
Mass (Weight) (kg):,,,,,,,,,,
Ramp,152405,52110,95238,52615,56700,63050,52620,65310,69610,78460
Max. take-off,151315,51710,95028,52390,56470,62820,52390,65090,69400,78220
Max. landing,112037,46266,72575,46720,51710,54880,49900,54650,58060,65310
Zero-fuel,104330,43545,63318,43091,47630,51250,46490,51480,54650,61680
Max. payload,38100,12220,18597,15445,16030,17740,15530,9800,11610,14690
Max. fuel payload,12852,8921,24366,9118,8705,13366,5280,7831,10996,15921
Design payload,13965,10070,12920,10925,12160,13870,10260,10260,12160,15200
Design fuel load,71126,9965,35944,13819,12441,15580,11170,18390,19655,21540
Operational empty,66224,31675,46164,27646,31869,33370,30960,36440,37585,41480
Weight Ratios:,,,,,,,,,,
Ops empty/Max. T/O,0.438,0.613,0.486,0.528,0.564,0.531,0.591,0.56,0.542,0.53
Max. payload/Max. T/O,0.252,0.236,0.196,0.295,0.284,0.282,0.296,0.151,0.167,0.188
Max. fuel/Max. T/O,0.471,0.212,0.255,0.341,0.281,0.253,0.303,0.316,0.296,0.263
Max. landing/Max. T/O,0.74,0.895,0.764,0.892,0.916,0.874,0.952,0.84,0.837,0.835
Fuel (litres):,,,,,,,,,,
Standard,90299,13892,30622,19532,20105,20105,20105,26024,26024,26024
Optional,,16065,40068,22598,23170,23170,23170,,,
,,,,,,,,,,
Taper Ratio,0.4,0.38,0.38,0.26,0.26,0.26,0.26,0.186,0.186,0.186
1/4 Chord Sweep (§),36,30,36,30,30,30,30,30,30,30
Tail Arm  (m),20.5,14.3,20.1,14.78,14.78,16,14,13.58,14.73,17.68
Sh/S,0.205,0.26,0.221,0.344,0.344,0.344,0.344,0.26,0.26,0.26
ShLh/Sc,0.571,0.959,0.814,1.338,1.363,1.475,1.291,0.847,0.919,1.102
Undercarriage:,,,,,,,,,,
Track (m),6.73,4.88,5.72,5.23,5.25,5.25,5.25,5.7,5.7,5.7
Wheelbase (m),17.98,17.6,19.28,11.38,12.4,14.3,11,,12.4,
Turning radius (m),,,25,,19.5,,,,19.5,
No. of wheels (nose;main),2;8,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4
Main Wheel diameter (m),1.117,,1.245,,1.016,1.016,1.016,1.016,1.016,1.016
Main Wheel width (m),0.406,,0.432,,0.368,0.368,0.368,0.368,0.368,0.368
Nacelle:,,,,,,,,,,
Length (m),6,6.1,7,7,4.7,4.7,4.7,4.7,4.7,4.7
Max. width (m),1.6,1.75,1.5,1.5,2,2,2,2.06,2.06,2.06
Spanwise location,0.44/0.71,-,-,0.35,0.34,0.34,0.34,0.282,0.282,0.282
,,,,,,,,,,
PERFORMANCE,,,,,,,,,,
Loadings:,,,,,,,,,,
Max. Power Load (kg/kN),447.47,264.1,444.89,367.91,317.25,320.84,318.29,396.89,389.89,365.51
Max. Wing Load (kg/m2),533.93,556.2,601.82,575.46,620.28,690.03,575.46,522.39,556.98,627.77
Thrust/Weight Ratio,0.2278,0.386,0.2291,0.2771,0.3213,0.3177,0.3203,0.2568,0.2615,0.2789
Take-off (m):,,,,,,,,,,
ISA sea level,3054,,3033,1829,1939,2222,1832,,,
ISA +20§C SL.,,,3658,1859,2109,2475,2003,1878,2042,2316
ISA 5000ft,,,3962,2886,2432,,2316,,,
ISA +20§C 5000ft,,,4176,3292,2637,,2649,,,
Landing (m):,,,,,,,,,,
ISA sea level.,1905,1445,1494,1350,1396,1582,1362,1268,1356,1600
ISA +20§C SL.,,,1494,1350,1396,1582,1362,1268,1356,1600
ISA 5000ft,,,1661,1615,1576,1695,1533,,,
ISA +20§C 5000ft,,,1661,1615,1576,1695,1533,,,
Speeds (kt/Mach):,,,,,,,,,,
V2,,150,166,147,148,159,142,,,
Vapp,135,130,137,131,133,138,130,,,
Vno/Mmo,383/M0.90,438/M0.76,390/M0.90,350/M0.84,340/M0.82,340/M0.82,340/M0.82,392/M0.84,392/M0.84,392/M0.84
Vne/Mme,425/M0.95,,M0.95,,,,,,,
CLmax (T/O),,2.15,1.9,2.32,2.47,2.38,2.49,,,
CLmax (L/D @ MLM),2.22,3.01,2.51,3.06,3.28,3.24,3.32,,,
Max. cruise :,,,,,,,,,,
Speed (kt),521,,530,488,491,492,492,,,
Altitude (ft),25000,,25000,25000,26000,26000,26000,41000,41000,41000
Fuel consumption (kg/h),,,4536,4005,3890,3307,3574,,,
Long range cruise:,,,,,,,,,,
Speed (kt),478,438,467,420,429,430,429,450,452,452
Altitude (ft),,35000,33000,35000,35000,35000,35000,39000,39000,39000
Fuel consumption (kg/h),,,4309,2827,2250,2377,2100,1932,2070,2186.84
Range (nm):,,,,,,,,,,
Max. payload,3150,,2140,1549,1578,1950,1360,,,
Design range,,1375,2400,1900,2850,2700,1700,3191,3197,2897
Max. fuel (+ payload),5000,,,2887,3187,2830,3450,3229,3245,2927
Ferry range,,,,,,,,,,
Design Parameters:,,,,,,,,,,
W/SCLmax,2360.53,1811.43,2356.82,1845.48,1852.54,2090.56,1701.59,,,
W/aCLtoST,3947.87,1788.04,3918.96,2537.71,2196.64,2506.93,2024.27,,,
Fuel/pax/nm (kg),,0.0684,0.1101,0.0632,0.0341,0.0395,0.0608,0.0534,0.048,0.0465
Seats x Range (seats.nm),,145750,326400,218500,364800,394200,183600,344628,409216,463520
